Would you marry Tatsuro Yamashita if possible?,できたら山下達郎さんと結婚したかった？,yes,はい,no,いいえ
Which attracts you more?,どっちに惹かれる？,Bubble Tea,タビオカミルクティー,Yogurt with	Nata de coco,ナタデココ入りヨーグルト
A coin is on the ground. What would you do?,コインが落ちています。どうする？,pick	up,拾う,stand it,立てる
Do you know where dog's eyes go when they sleep?,犬が寝るとき目がどこに行くか知ってる？,yes,はい,no,いいえ
Do you need a TV?,テレビが無いと困る？,yes,はい,no,いいえ
What's Hayabusa?,はやぶさって何？,asteroid explorer,小惑星探査機,a trick of jumping rope,縄跳びの技
Which do you prefer?,どっちが好き？,(^ω^),(^ω^),(^.^),(^.^)
Have you ever killed a fly with a rubber band?,ハ工を輪ゴムで仕留めたことある？,yes,はい,no,いいえ
Have you ever acted as a bad person?,ギャルor ヤンキーしたことある？,yes,はい,no,いいえ
Can you speak English?,英語しゃべれる？,yes,はい,no,いいえ
