Do you want to stand up?,立ちたい？,yes,はい,no,いいえ
Now I can,今なら？,say it,言える,not say it,言えない
Do you often turn off your PC? or keep it on?,パソコンの電源ってよく切る？つけっぱなし?,often turn it off,よく切る,keep it on,つけっばなし
Which do you prefer?,吸うのと吐くのどっちが好き？,breath in,吸う,breath out,吐く
Are you lying?,嘘ついてる？,yes,はい,no,いいえ
Which describes you better,どっち,denser,濃く,lighter,薄く
Do you think you are alive 10 years later?,10年後生きてると思う？,yes,はい,no,いいえ
Do you want to break it?,壊してみたい？,yes,はい,no,いいえ
If it is still there do you want to visit?,まだやってたら行きたい？,yes,はい,no,いいえ
Do you think flowers are beautiful?,花は綺麗だと思う？,yes,はい,no,いいえ
