Do you have something you like which you used to do not like?,昔は嫌いだったけど今は好きなものある？,yes,はい,no,いいえ
Do you like the color green?,緑色って好き？,yes,はい,no,いいえ
Have you ever found a 4 leaf clover?,四つ葉のクローバー見つけたことある？,yes,はい,no,いいえ
Which do you prefer?,大きいものと小さいものどっちが好き？,big thing,大きいもの,small thing,小さいもの
Do you blame yourself?,それは自分のせいだと思う？,yes,はい,no,いいえ
Do you think somebody will do it?,誰かがやってくれるって思う?,yes,はい,no,いいえ
Do you have somebody you want to believe?,信じていたい人がいる,yes,はい,no,いいえ
Do you have a plan for the next holiday?,次の休日の予定は決まってる？,yes,はい,no,いいえ
Which describes you better?,どっちに近い？,100%,100%,1%,1%
Do you think the weather tomorrow is good?,明日はいい天気だと思う？,yes,はい,no,いいえ
