Do you like speaking loud?,大きな声出すの好き？,yes,はい,no,いいえ
Which do you prefer to be given?,もらうならどっち？,certificate,表彰状,medal,メダル
Are you the very center of this world?,自分中心に世界は回ってる？,yes,はい,no,いいえ
If you see a white dot on a black paper do you think the dot is a hole?,黒い紙に白い点があったらそれは穴だと思う？,yes,はい,no it is a light,いいえ光っています
Which do you prefer?,どっちが好き？,broom,ほうき,vacuum,掃除機
Do you consider everything  is beautiful?,すべてのものってきれいだと思う？,yes i do,はい,no i don't,そうとは言えない
If you are in a green field then you'd...,広い草原を,Run,走りたい,enjoy the scenery,眺めたい
Which describe your relationship with big trees better?,大きな木に,want to be them,なりたい,want to touch them,触りたい
Do you consider this paper is white?,この折り紙は白色だと思う？,yes,はい,no,いいえ
Do you think you've already met an alien before?,宇宙人にもう既に会っていると思う？,yes,はい,no,いいえ
